# Force coefficients
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	3.0461744238e-15	1.3878986316e+01	1.3635016819e+00	6.8175084093e-01	6.8175084093e-01
0.01              	4.9511900267e-04	2.5213283854e+02	-1.8277231845e+01	-9.1381208036e+00	-9.1391110416e+00
0.02              	2.1062568567e-04	-7.1964717803e+01	6.2196419280e+00	3.1100315897e+00	3.1096103383e+00
0.03              	8.0767759104e-05	3.7769645309e+00	-3.3695713991e-03	-1.6040179404e-03	-1.7655534586e-03
0.04              	-4.0607236964e-05	3.5513941479e+00	5.4997171707e-02	2.7457978617e-02	2.7539193091e-02
0.05              	-6.1732124218e-05	3.3310762826e+00	3.3465438912e-02	1.6670987332e-02	1.6794451580e-02
0.06              	-5.8308405563e-05	3.0414602175e+00	2.2841021870e-02	1.1362202529e-02	1.1478819341e-02
0.07              	-6.6963581918e-05	2.8019903377e+00	1.7486618643e-02	8.6763457397e-03	8.8102729035e-03
0.08              	-7.6820679460e-05	2.6172093675e+00	1.5352193855e-02	7.5992762479e-03	7.7529176068e-03
0.09              	-8.6593209481e-05	2.4732083582e+00	1.3998808905e-02	6.9128112430e-03	7.0859976620e-03
0.1               	-9.4236985335e-05	2.3545251040e+00	1.3510552444e-02	6.6610392368e-03	6.8495132075e-03
0.11              	-1.0588666659e-04	2.2546534307e+00	1.3376808378e-02	6.5825175224e-03	6.7942908555e-03
0.12              	-1.1010733810e-04	2.1689427951e+00	1.2349300712e-02	6.0645430180e-03	6.2847576942e-03
0.13              	-1.1452420899e-04	2.0950164426e+00	1.2043877503e-02	5.9074145425e-03	6.1364629605e-03
0.14              	-1.1970091673e-04	2.0304108810e+00	1.1821741131e-02	5.7911696488e-03	6.0305714822e-03
0.15              	-1.2771216966e-04	1.9735716493e+00	1.2059902265e-02	5.9022389630e-03	6.1576633023e-03
0.16              	-1.3264427867e-04	1.9231148975e+00	1.1345284660e-02	5.5399980515e-03	5.8052866088e-03
0.17              	-1.3411177059e-04	1.8783382431e+00	1.0590796059e-02	5.1612862591e-03	5.4295098002e-03
0.18              	-1.3614409793e-04	1.8383192083e+00	1.0461754317e-02	5.0947330607e-03	5.3670212566e-03
0.19              	-1.4055904304e-04	1.8022565328e+00	1.0576080894e-02	5.1474814039e-03	5.4285994900e-03
0.2               	-1.4411660502e-04	1.7696637376e+00	1.0516253131e-02	5.1140099604e-03	5.4022431704e-03
0.21              	-1.4863907355e-04	1.7401327544e+00	1.0689565429e-02	5.1961436411e-03	5.4934217882e-03
0.22              	-1.5227790710e-04	1.7132509744e+00	1.0229881267e-02	4.9626627265e-03	5.2672185407e-03
0.23              	-1.5590655152e-04	1.6886669857e+00	1.0002326957e-02	4.8452569270e-03	5.1570700300e-03
0.24              	-1.5484068284e-04	1.6664388121e+00	9.2062813979e-03	4.4483000161e-03	4.7579813818e-03
0.25              	-1.5602004171e-04	1.6461592376e+00	9.2309442460e-03	4.4594520813e-03	4.7714921647e-03
0.26              	-1.5746238343e-04	1.6275766431e+00	9.0445964989e-03	4.3648358660e-03	4.6797606329e-03
0.27              	-1.5996698257e-04	1.6104075439e+00	9.3195139186e-03	4.4997899768e-03	4.8197239419e-03
0.28              	-1.6272401149e-04	1.5946356094e+00	9.4312132520e-03	4.5528826145e-03	4.8783306375e-03
0.29              	-1.6478932472e-04	1.5801291466e+00	9.2859465138e-03	4.4781839322e-03	4.8077625816e-03
0.3               	-1.6640925959e-04	1.5668383563e+00	9.1608634644e-03	4.4140224726e-03	4.7468409918e-03
0.31              	-1.6738248740e-04	1.5546385695e+00	8.6138786682e-03	4.1395568467e-03	4.4743218215e-03
0.32              	-1.6807051712e-04	1.5433310175e+00	8.3060108820e-03	3.9849349239e-03	4.3210759581e-03
0.33              	-1.6921628221e-04	1.5329638248e+00	8.4968047967e-03	4.0791861161e-03	4.4176186806e-03
0.34              	-1.7170628413e-04	1.5233712278e+00	8.8072196817e-03	4.2319035567e-03	4.5753161250e-03
0.35              	-1.7334645705e-04	1.5146290614e+00	8.6021857777e-03	4.1277464318e-03	4.4744393459e-03
0.36              	-1.7224413896e-04	1.5065864046e+00	7.8871454755e-03	3.7713285988e-03	4.1158168767e-03
0.37              	-1.7145637547e-04	1.4991291643e+00	7.7370974129e-03	3.6970923310e-03	4.0400050819e-03
0.38              	-1.7238869218e-04	1.4922410740e+00	8.0194100979e-03	3.8373163568e-03	4.1820937412e-03
0.39              	-1.7378927611e-04	1.4860469285e+00	8.0957873026e-03	3.8741043752e-03	4.2216829274e-03
0.4               	-1.7469831694e-04	1.4801829915e+00	8.1794738975e-03	3.9150386318e-03	4.2644352657e-03
0.41              	-1.7526903477e-04	1.4748069342e+00	7.9736534385e-03	3.8115576845e-03	4.1620957540e-03
0.42              	-1.7565989994e-04	1.4699720177e+00	8.0398447766e-03	3.8442624884e-03	4.1955822882e-03
0.43              	-1.7562836130e-04	1.4655776794e+00	7.8075944162e-03	3.7281688468e-03	4.0794255694e-03
0.44              	-1.7525654661e-04	1.4613240030e+00	7.6527903710e-03	3.6511386389e-03	4.0016517321e-03
0.45              	-1.7527030160e-04	1.4577072225e+00	7.0341578197e-03	3.3418086083e-03	3.6923492115e-03
0.46              	-1.7535616561e-04	1.4544445576e+00	7.2373056119e-03	3.4432966403e-03	3.7940089716e-03
0.47              	-1.7505941465e-04	1.4514354199e+00	7.0495078006e-03	3.3496944857e-03	3.6998133150e-03
0.48              	-1.7508036169e-04	1.4485316372e+00	7.1366437994e-03	3.3932415380e-03	3.7434022614e-03
